ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.06908585131168365,0.05817628279328346,0.06634508073329926,0.33049920201301575,0.47589361667633057
2,0.4364270865917206,0.058948270976543427,0.07101459801197052,0.27278926968574524,0.16082076728343964
3,0.4290086627006531,0.05947922542691231,0.061650559306144714,0.13444028794765472,0.31542128324508667
4,0.14936615526676178,0.05809900537133217,0.08380352705717087,0.10271374136209488,0.6060175895690918
5,0.4023696184158325,0.06023886799812317,0.06540540605783463,0.2895558774471283,0.18243026733398438
6,0.3296160101890564,0.056406352669000626,0.0716736689209938,0.3808138072490692,0.16149011254310608
7,0.31062766909599304,0.06444810330867767,0.18214331567287445,0.2268221080303192,0.21595877408981323
8,0.6031438708305359,0.05643393471837044,0.05635249614715576,0.10732851177453995,0.17674121260643005
9,0.7211927175521851,0.04615277424454689,0.04608617722988129,0.07205585390329361,0.11451242864131927
10,0.5038655996322632,0.054750021547079086,0.06517301499843597,0.22684413194656372,0.14936722815036774
11,0.6994577646255493,0.044744983315467834,0.04468041658401489,0.07860945165157318,0.13250742852687836
12,0.09202279895544052,0.0593734085559845,0.13200494647026062,0.2947179079055786,0.42188090085983276
13,0.595982551574707,0.048309575766325,0.04823986068367958,0.1737002283334732,0.13376781344413757
14,0.4758344888687134,0.07602746784687042,0.0754651203751564,0.08355922251939774,0.2891136705875397
15,0.4925895035266876,0.05516096204519272,0.0656621903181076,0.22891229391098022,0.15767508745193481
16,0.6881784200668335,0.044023435562849045,0.043959908187389374,0.10193859785795212,0.12189961969852448
17,0.2894534170627594,0.05726562812924385,0.07324152439832687,0.4162045121192932,0.16383488476276398
18,0.3109983503818512,0.05770059674978256,0.06890612840652466,0.39746034145355225,0.16493453085422516
19,0.3843699097633362,0.05901777744293213,0.0782286748290062,0.17530107498168945,0.30308255553245544
20,0.05120764672756195,0.05696047469973564,0.15426291525363922,0.051741644740104675,0.6858273148536682
21,0.3736877739429474,0.05631948634982109,0.06784771382808685,0.16290296614170074,0.3392421007156372
22,0.038149382919073105,0.03905791416764259,0.06409536302089691,0.03905818611383438,0.8196392059326172
23,0.49947547912597656,0.0544515959918499,0.06481777876615524,0.22560769319534302,0.1556473970413208
24,0.03737681359052658,0.03735152259469032,0.06406626850366592,0.037351783365011215,0.8238535523414612
25,0.5190733075141907,0.0556318499147892,0.06622271984815598,0.1960401087999344,0.16303202509880066
26,0.2839081883430481,0.06603474915027618,0.07825804501771927,0.07518423348665237,0.4966147541999817
27,0.7980928421020508,0.041286956518888474,0.04122737795114517,0.04349590092897415,0.07589692622423172
28,0.04871438443660736,0.06667935103178024,0.0850781574845314,0.0775732770562172,0.7219548225402832
29,0.3214947283267975,0.058325786143541336,0.0773114338517189,0.3668093979358673,0.17605865001678467
30,0.39678651094436646,0.061486855149269104,0.07407280802726746,0.29189643263816833,0.17575737833976746
31,0.41857007145881653,0.07448500394821167,0.07747893035411835,0.1297590285539627,0.29970699548721313
32,0.7825940847396851,0.04048517346382141,0.04042675346136093,0.05805850774049759,0.07843544334173203
33,0.23817239701747894,0.06750030070543289,0.08053472638130188,0.10350953042507172,0.5102830529212952
34,0.7978051900863647,0.04127207398414612,0.04121251776814461,0.043480221182107925,0.076229989528656
35,0.39032307267189026,0.05381128937005997,0.05882132053375244,0.05142400041222572,0.4456203579902649
36,0.5353685617446899,0.05408206582069397,0.06437790393829346,0.190301313996315,0.15587015450000763
37,0.24969127774238586,0.056056421250104904,0.2151496708393097,0.06034751608967781,0.41875508427619934
